id	name	element	description	imagepath	attack	defense	power
47	Iroh	FIRE	Retired Fire Nation General and wise mentor to his nephew Zuko.	@/../com/avatarduel/card/image/character/Iroh.png	8	8	0
48	Zhao	FIRE	Leader of the Fire Nation Navy that is obsessed to capture Aang.	@/../com/avatarduel/card/image/character/Zhao.png	8	5	0
49	Mai	FIRE	Main ally of Princess Azula, proficient at throwing stilettos.	@/../com/avatarduel/card/image/character/Mai.png	7	6	0
50	Roku	FIRE	Avatar from Fire Nation, predecessor of Aang.	@/../com/avatarduel/card/image/character/Roku.png	14	6	0
51	Sozin	FIRE	Instigator of the Hundred Year War.	@/../com/avatarduel/card/image/character/Sozin.png	9	7	0
52	Great Sage	FIRE	Leader of 5 Fire Sages who resided on Crescent Island.	@/../com/avatarduel/card/image/character/Great Sage.png	8	3	0
53	Bumi	EARTH	King of Omashu, childhood friend of Aang.	@/../com/avatarduel/card/image/character/Bumi.png	5	12	0
54	Cabbage Merchant	EARTH	Earth Kingdom businessman and founder of Cabbage Corb.	@/../com/avatarduel/card/image/character/Cabbage Merchant.png	2	8	0
55	The Boulder	EARTH	Professional earthbending westler who participated in the Earth Rumble tournaments.	@/../com/avatarduel/card/image/character/The Boulder.png	9	9	0
56	Haru	EARTH	Skilled teenager earthbender that hides his skill because of Fire Nation attack.	@/../com/avatarduel/card/image/character/Haru.png	6	10	0
57	Jet	EARTH	Teenage leader of Earth Kingdom refugees that called themselves Freedom Fighters.	@/../com/avatarduel/card/image/character/Jet.png	8	5	0
58	Jin Wei	EARTH	Legendary patriarch of the Gan Jin tribe.	@/../com/avatarduel/card/image/character/Jin Wei.png	6	5	0
59	Kyoshi	EARTH	Earth Kingdom Avatar, predecessor of Avatar Roku	@/../com/avatarduel/card/image/character/Kyoshi.png	5	15	0
60	Toph	EARTH	Earthbending master that discover metalbending.	@/../com/avatarduel/card/image/character/Toph.png	12	8	0
61	Long Feng	EARTH	Grand Secretariat of Ba Sing Se and the leader of the Dai Li.	@/../com/avatarduel/card/image/character/Long Feng.png	4	11	0
62	June	EARTH	Bounty hunter with a shirshu as her pet.	@/../com/avatarduel/card/image/character/June.png	5	8	0
63	Suki	EARTH	Leader of Kyoshi Warrior.	@/../com/avatarduel/card/image/character/Suki.png	8	8	0
64	Pipsqueak	EARTH	Strongest member of Freedom Fighters.	@/../com/avatarduel/card/image/character/Pipsqueak.png	3	10	0
